Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),Math (18x18),Chip Globals
COREFIR_PF_C0_0/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/data_pipe_0/Primitives,14,14,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/dvalid_pipe_1/Primitives,1,2,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/Primitives,4,1,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/shift_reg_1/Primitives,0,7,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/syst_counter_0/Primitives,7,5,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.1.dly_link_22/fabric_shift_reg.fabric_dly_0/Primitives,47,20,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.1.dly_link_22/fabric_shift_reg.fabric_dly_0/delayLine_seqshift_delayLine_seqshift_0_0/Primitives,0,0,12,12,0,1,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/dvalid_pipe_0/Primitives,0,2,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/dvalid_pipe_0/Primitives,0,3,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/MACC_PA_BC_ROM_0/Primitives,0,0,216,216,0,0,6,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/Primitives,1,0,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/valid_pipe_0/Primitives,0,3,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/dvalid_pipe_0/Primitives,0,2,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/dvalid_pipe_1/Primitives,0,3,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/inter_advanced.end_dly_0/Primitives,0,96,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/dvalid_pipe_0/Primitives,0,3,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/MACC_PA_BC_ROM_0/Primitives,0,0,180,180,0,0,5,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/Primitives,1,0,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/valid_pipe_0/Primitives,0,3,0,0,0,0,0,0
COREFIR_PF_C0_1/COREFIR_PF_C0_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0
Primitives/Primitives,0,0,0,0,70,0,0,1
combiner_0/Primitives,65,65,0,0,0,0,0,0
four_pr_0/Primitives,7,8,0,0,0,0,0,0
modulator_0/WideMult_0/Primitives,0,0,108,108,0,0,3,0
modulator_0/WideMult_0_0/Primitives,0,0,108,108,0,0,3,0
phase_counter_0/Primitives,17,16,0,0,0,0,0,0
upsampler_0/Primitives,10,9,0,0,0,0,0,0
