Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),Math (18x18),Chip Globals,Row Global
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[1].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[2].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[3].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[4].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[5].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[6].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[7].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[8].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/cLayer[9].par_calc_0/Primitives,98,96,0,0,0,0,0,0,0
envelope_0/CORECORDIC_C0_0/CORECORDIC_C0_0/parallel.cordic_paral_0/uRotator_par_0/dly_0/Primitives,16,16,0,0,0,0,0,0,0
envelope_0/delay_line_signext_0/Primitives,65,58,0,0,0,0,0,0,0
envelope_0/delay_line_signext_0/shift_reg_seqshift_shift_reg_seqshift_0_0/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/delay_line_signext_0/shift_reg_seqshift_shift_reg_seqshift_0_1/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/delay_line_signext_0/shift_reg_seqshift_shift_reg_seqshift_0_2/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/delay_line_signext_0/shift_reg_seqshift_shift_reg_seqshift_0_3/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/dvalid_pipe_3/Primitives,1,5,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/data_pipe_0/Primitives,25,11,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/data_pipe_0/delayLine_seqshift_delayLine_seqshift_0_0/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/data_pipe_0/delayLine_seqshift_delayLine_seqshift_0_1/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/dvalid_pipe_0/Primitives,0,1,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/enum_pad_g5_0/dvalid_pipe_1/Primitives,1,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/Primitives,7,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/async2sync_0/Primitives,0,1,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/shift_reg_1/Primitives,0,7,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/latency_0/syst_counter_0/Primitives,7,5,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.1.dly_link_22/fabric_shift_reg.fabric_dly_0/Primitives,52,20,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.1.dly_link_22/fabric_shift_reg.fabric_dly_0/delayLine_seqshift_delayLine_seqshift_0_0/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.1.dly_link_22/fabric_shift_reg.fabric_dly_0/delayLine_seqshift_delayLine_seqshift_0_1/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.2.dly_link_22/fabric_shift_reg.fabric_dly_0/Primitives,53,20,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.2.dly_link_22/fabric_shift_reg.fabric_dly_0/delayLine_seqshift_delayLine_seqshift_0_0/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/non_symm_bus.2.dly_link_22/fabric_shift_reg.fabric_dly_0/delayLine_seqshift_delayLine_seqshift_0_1/Primitives,0,0,12,12,0,1,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/dvalid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/dvalid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/MACC_PA_BC_ROM_0/Primitives,0,0,216,216,0,0,6,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/Primitives,1,0,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/left_nibble_0/valid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.1.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/dvalid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/dvalid_pipe_1/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/inter_advanced.end_dly_0/Primitives,0,96,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/dvalid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/MACC_PA_BC_ROM_0/Primitives,0,0,216,216,0,0,6,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/Primitives,1,0,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/left_nibble_0/valid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.2.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/dvalid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/dvalid_pipe_1/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/inter_advanced.end_dly_0/Primitives,0,96,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/left_nibble_0/dvalid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/MACC_PA_BC_ROM_0/Primitives,0,0,108,108,0,0,3,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/left_nibble_0/many_tap_nibble.many_tap_nibble_0/left_tap_0/MACC_PA_BC_ROM_wrap_0/Primitives,1,0,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/left_nibble_0/valid_pipe_0/Primitives,0,3,0,0,0,0,0,0,0
envelope_0/fir_hilbert_0/fir_hilbert_0/enum_g5.enum_fir_g5/adv_enum.adv_enum_0/rows_higher.3.a_row_higher/valid_pipe_0/Primitives,0,2,0,0,0,0,0,0,0
top_bf_0/Primitives,9,3,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/Primitives,16,44,0,0,0,0,0,7,0
top_bf_0/delay_ctrl/coord_inst/Primitives,22,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[0].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[0].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[0].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[10].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[10].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[10].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[11].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[11].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[11].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[12].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[12].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[12].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[13].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[13].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[13].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[14].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[14].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[14].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[15].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[15].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[15].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[1].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[1].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[1].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[2].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[2].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[2].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[3].delay_calc_inst/Primitives,12,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[3].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[3].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[4].delay_calc_inst/Primitives,13,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[4].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[4].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[5].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[5].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[5].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[6].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[6].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[6].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[7].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[7].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[7].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[8].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[8].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[8].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/delay_calc_arr[9].delay_calc_inst/Primitives,11,51,0,0,0,0,0,1,0
top_bf_0/delay_ctrl/delay_calc_arr[9].delay_calc_inst/dx2_2_mulonly_0[31:0]/Primitives,0,0,36,36,0,0,1,0,0
top_bf_0/delay_ctrl/delay_calc_arr[9].delay_calc_inst/uut/Primitives,104,102,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[0].sd_inst/Primitives,24,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[0].sd_inst/buffer_buffer_0_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[0].sd_inst/buffer_buffer_1_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[0].sd_inst/buffer_buffer_2_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[0].sd_inst/buffer_buffer_3_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[10].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[11].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[12].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[13].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[14].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[15].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[1].sd_inst/Primitives,41,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[1].sd_inst/buffer_buffer_0_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[1].sd_inst/buffer_buffer_1_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[1].sd_inst/buffer_buffer_2_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[1].sd_inst/buffer_buffer_3_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[2].sd_inst/Primitives,49,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[2].sd_inst/buffer_buffer_0_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[2].sd_inst/buffer_buffer_1_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[2].sd_inst/buffer_buffer_2_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[2].sd_inst/buffer_buffer_3_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[3].sd_inst/Primitives,48,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[3].sd_inst/buffer_buffer_0_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[3].sd_inst/buffer_buffer_1_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[3].sd_inst/buffer_buffer_2_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[3].sd_inst/buffer_buffer_3_0/Primitives,0,0,12,12,0,1,0,0,0
top_bf_0/delay_ctrl/sample_array[4].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[5].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[6].sd_inst/Primitives,18,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[7].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[8].sd_inst/Primitives,9,0,0,0,0,0,0,0,0
top_bf_0/delay_ctrl/sample_array[9].sd_inst/Primitives,9,8,0,0,0,0,0,0,0
top_bf_0/read_vals/Primitives,39,24,0,0,0,0,0,0,0
top_bf_0/summation_unit/Primitives,74,18,0,0,0,0,0,0,0
top_logc_0/int_calc_0/Primitives,354,148,0,0,0,0,0,0,0
top_logc_0/log_frac_calc_0/Primitives,162,58,0,0,0,0,0,0,0
