
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_1layer1_2, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_1layer1_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_1layer1_3, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_1layer1_2, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_3layer1, 0, 1, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_5layer1, 0, 1, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_4layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_4layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_5layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_3layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_6layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_1layer1_1_5, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	. enum_row_g5_work_fir_hilbert_rtl_2layer1, 109, 1, 0, 0, 3, 0, 0, 0, 0
.	.	.	.	.	.	. enum_kitDelay_bit_reg_attr_2_1, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. enum_kitDelay_bit_reg_attr_2_6_1, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. enum_kitDelay_bit_reg_attr_3_8_3, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. enum_kitDelay_reg_48_2_0, 96, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. enum_tap_nibble_work_fir_hilbert_rtl_0layer1, 6, 1, 0, 0, 3, 0, 0, 0, 0
.	.	.	.	.	.	.	. enum_kitDelay_bit_reg_attr_3_1, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. enum_kitDelay_bit_reg_attr_3_8_2, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. enum_tap_undernibble_3_work_fir_hilbert_rtl_0layer1, 0, 1, 0, 0, 3, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_0layer1, 0, 1, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_2layer1, 0, 1, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_1layer1_4, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_1layer1_3, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. enum_tap_g5_work_fir_hilbert_rtl_2layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. MACC_PA_BC_ROM_wrap_work_fir_hilbert_rtl_0layer1, 0, 0, 0, 0, 1, 0, 0, 0, 0
